Gene,IG,GainRatio,Gini,Relief,Cumulative_Weight
BraA07g010350,0.07278517150001164,0.12874484710754422,0.1263940991584708,0.07265608734642452,0.40058020511245124
BraA03g023200,0.07278517150001164,0.09437816687176548,0.07742180310444509,0.10620108212767064,0.35078622360389283
BraA10g003120,0.07278517150001164,0.057680091309851016,0.08123175326875563,0.13036335368093127,0.34206036975954957
BraA01g004910,0.030390181151978755,0.09437816687176548,0.010509943675158416,0.2060026475850592,0.34128093928396186
BraA03g026980,0.05466702959516202,0.03022795887825927,0.09576396633884228,0.15964250077220918,0.3403014555844728
BraA03g027530,0.07228936479923877,0.12874484710754422,0.061213626685592666,0.07669379712171416,0.3389416357140898
BraA07g011100,0.030390181151978755,0.09437816687176548,0.04331522052339562,0.13927460037759334,0.3073581689247332
BraA01g029970,0.057392292516733584,0.016367056063826806,0.11668736692689856,0.09632994606006105,0.28677666156752
BraA05g038450,0.04295580847430303,0.06161526477853669,0.08123175326875563,0.09349989803506134,0.2793027245566567
BraA07g011090,0.030390181151978755,0.09437816687176548,0.010509943675158416,0.10331244248596111,0.23859073418486376
BraA01g018870,0.038614228174539834,0.029142447730090313,0.03172350085054138,0.12782009657744178,0.22730027333261332
